Tick,ActivateBoost,DodgeForward,DodgeStrafe,Handbrake,HoldingBoost,Jump,Jumped,Pitch,Roll,Steer,Throttle,Yaw
0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,0,1,0,0,0,0,0,1,0
2,1,0,0,0,1,0,0,0,0,0,1,0
3,1,0,0,0,1,0,0,0,0,0,1,0
4,1,0,0,0,1,0,0,0,0,0,1,0
5,1,0,0,0,1,0,0,0,0,0,1,0
6,1,0,0,0,1,0,0,0,0,0,1,0
7,1,0,0,0,1,0,0,0,0,0,1,0
8,1,0,0,0,1,0,0,0,0,0,1,0
9,1,0,0,0,1,0,0,0,0,0,1,0
10,1,0,0,0,1,0,0,0,0,0,1,0
11,1,0,0,0,1,0,0,0,0,0,1,0
12,1,0,0,0,1,0,0,0,0,0,1,0
13,1,0,0,0,1,0,0,0,0,0,1,0
14,1,0,0,0,1,0,0,0,0,0,1,0
15,1,0,0,0,1,0,0,0,0,0,1,0
16,1,0,0,0,1,0,0,0,0,0,1,0
17,1,0,0,0,1,0,0,0,0,0,1,0
18,1,0,0,0,1,0,0,0,0,0,1,0
19,1,0,0,0,1,0,0,0,0,0,1,0
20,1,0,0,0,1,0,0,0,0,0,1,0
21,1,0,0,0,1,0,0,0,0,0,1,0
22,1,0,0,0,1,0,0,0,0,0,1,0
23,1,0,0,0,1,0,0,0,0,0,1,0
24,1,0,0,0,1,0,0,0,0,0,1,0
25,1,0,0,0,1,0,0,0,0,0,1,0
26,1,0,0,0,1,0,0,0,0,0,1,0
27,1,0,0,0,1,0,0,0,0,0,1,0
28,1,0,0,0,1,0,0,0,0,0,1,0
29,1,0,0,0,1,0,0,0,0,0,1,0
30,1,0,0,0,1,0,0,0,0,0,1,0
31,1,0,0,0,1,0,0,0,0,0,1,0
32,1,0,0,0,1,0,0,0,0,0,1,0
33,1,0,0,0,1,0,0,0,0,0,1,0
34,1,0,0,0,1,0,0,0,0,0,1,0
35,1,0,0,0,1,0,0,0,0,0,1,0
36,1,0,0,0,1,0,0,0,0,0,1,0
37,1,0,0,0,1,0,0,0,0,0,1,0
38,1,0,0,0,1,0,0,0,0,0,1,0
39,1,0,0,0,1,0,0,0,0,0,1,0
40,1,0,0,0,1,0,0,0,0,0,1,0
41,1,0,0,0,1,0,0,0,0,0,1,0
42,1,0,0,0,1,0,0,0,0,0,1,0
43,1,0,0,0,1,0,0,0,0,0,1,0
44,1,0,0,0,1,0,0,0,0,0,1,0
45,1,0,0,0,1,0,0,0,0,0,1,0
46,1,0,0,0,1,0,0,0,0,0,1,0
47,1,0,0,0,1,0,0,0,0,0,1,0
48,1,0,0.0551181,0,1,0,0,0,0,0.0551181,1,0.0551181
49,1,0,0.133858,0,1,0,0,0,0,0.133858,1,0.133858
50,1,0,0.220472,0,1,0,0,0,0,0.220472,1,0.220472
51,1,0,0.645669,0,1,0,0,0,0,0.645669,1,0.645669
52,1,0,0.96063,0,1,0,0,0,0,0.96063,1,0.96063
53,1,0,1,0,1,1,1,0,0,1,1,1
54,1,0,1,0,1,1,0,0,0,1,1,1
55,1,0.110236,1,0,1,1,0,-0.109375,0,1,1,1
56,1,0.220472,1,0,1,1,0,-0.21875,0,1,1,1
57,1,0.314961,1,0,1,1,0,-0.3125,0,1,1,1
58,1,0.637795,0.858268,0,1,1,0,-0.632813,0,0.858268,1,0.858268
59,1,0.732283,0.779528,0,1,1,0,-0.734375,0,0.779528,1,0.779528
60,1,0.913386,0.559055,0,1,0,0,-0.914063,0,0.559055,1,0.559055
61,1,1,0.385827,0,1,0,0,-1,0,0.385827,1,0.385827
62,1,1,0.0551181,0,1,0,0,-1,0,0.0551181,1,0.0551181
63,1,1,0,0,1,0,0,-1,0,0,1,0
64,1,1,0,0,1,0,0,-1,0,0,1,0
65,1,1,-0.0078125,0,1,0,0,-1,0,-0.0078125,1,-0.0078125
66,1,1,-0.0546875,0,1,0,0,-1,0,-0.0546875,1,-0.0546875
67,1,1,-0.25,0,1,1,1,-1,0,-0.25,1,-0.25
68,1,1,-0.328125,0,1,1,0,-1,0,-0.328125,1,-0.328125
69,1,0.661417,-0.84375,0,1,1,0,-0.65625,0,-0.84375,1,-0.84375
70,1,0.401575,-1,0,1,1,0,-0.398438,0,-1,1,-1
71,1,0,-1,0,1,1,0,0,0,-1,1,-1
72,1,-0.820313,-0.6875,0,1,1,0,0.818898,-1,-0.6875,1,-0.6875
73,1,-1,-0.3125,0,1,1,0,1,-1,-0.3125,1,-0.3125
74,1,-1,-0.203125,0,1,1,0,1,-1,-0.203125,1,-0.203125
75,1,-1,-0.148438,0,1,1,0,1,-1,-0.148438,1,-0.148438
76,1,-1,-0.0703125,0,1,1,0,1,-1,-0.0703125,1,-0.0703125
77,1,-1,-0.046875,0,1,1,0,1,-1,-0.046875,1,-0.046875
78,1,-1,0,0,1,1,0,1,-1,0,1,0
79,1,-1,0,0,1,1,0,1,-1,0,1,0
80,1,-1,0,0,1,1,0,1,-1,0,1,0
81,1,-1,0,0,1,1,0,1,-1,0,1,0
82,1,-1,0,0,1,1,0,1,-1,0,1,0
83,1,-1,0,0,1,1,0,1,-1,0,1,0
84,1,-1,0,0,1,1,0,1,-1,0,1,0
85,1,-1,0,0,1,1,0,1,-1,0,1,0
86,1,-1,0,0,1,1,0,1,-1,0,1,0
87,1,-1,0,0,1,1,0,1,-1,0,1,0
88,1,-1,0,0,1,1,0,1,-1,0,1,0
89,1,-1,0,0,1,1,0,1,-1,0,1,0
90,1,-1,-0.109375,0,1,1,0,1,-1,-0.109375,1,-0.109375
91,1,-1,-0.140625,0,1,1,0,1,-1,-0.140625,1,-0.140625
